Model,Train RMSE,Test RMSE,Train MAE,Test MAE,Train R²,Test R²,Sparsity (%)
Linear Regression,29662.383642080502,34691.069168264075,18511.850760041743,21745.934908264357,0.8524856112685195,0.8431005086967975,
Ridge,29670.914430649667,34562.02054507526,18468.140675389834,21653.92204110556,0.8524007499145629,0.8442656502615336,
LASSO,29662.383664017398,34690.866463417085,18511.724147219327,21745.713506970107,0.8524856110503302,0.843102342263489,
Dynamic LASSO,30825.92228575993,36469.37325870847,19482.03621214552,22284.62940272121,0.8406858146440415,0.8266025264170941,55.00000000000001
